timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691734014358,131,RDCD,200,OK,Timers 1-1,text,true,,13239,282,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,27,0,17
1691734014358,27,RDCD-0,301,Moved Permanently,Timers 1-1,text,true,,409,141,1,1,http://stage-dashboard.rdcd.gov.bd/admin/login,27,0,17
1691734014386,103,RDCD-1,200,OK,Timers 1-1,text,true,,12830,141,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,103,0,39
1691734014492,96,ERA,200,OK,Timers 1-1,text,true,,15104,149,1,1,http://hr.erainfotechbd.com:8888/hr/f?p=114:LOGIN:::::,88,0,19
1691734014696,140,RDCD,200,OK,Timers 1-2,text,true,,13239,282,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,21,0,12
1691734014696,21,RDCD-0,301,Moved Permanently,Timers 1-2,text,true,,409,141,1,1,http://stage-dashboard.rdcd.gov.bd/admin/login,21,0,12
1691734014718,118,RDCD-1,200,OK,Timers 1-2,text,true,,12830,141,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,118,0,59
1691734014837,90,ERA,200,OK,Timers 1-2,text,true,,15104,149,1,1,http://hr.erainfotechbd.com:8888/hr/f?p=114:LOGIN:::::,84,0,5
1691734015026,129,RDCD,200,OK,Timers 1-3,text,true,,13239,282,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,31,0,23
1691734015026,31,RDCD-0,301,Moved Permanently,Timers 1-3,text,true,,409,141,1,1,http://stage-dashboard.rdcd.gov.bd/admin/login,31,0,23
1691734015058,97,RDCD-1,200,OK,Timers 1-3,text,true,,12830,141,1,1,https://stage-dashboard.rdcd.gov.bd/admin/login,97,0,43
1691734015157,140,ERA,200,OK,Timers 1-3,text,true,,15104,149,1,1,http://hr.erainfotechbd.com:8888/hr/f?p=114:LOGIN:::::,140,0,7
